NAME,START TIME,END TIME,ROOM,TYPE,DESCRIPTION,IMAGE
,,,,,,
Animalia,08:30,09:00,Main Stage,Music,"<p><span>ANIMALIA is a dark electro artist based in Toronto. Her music sways with the use of thumping beats and astral synths. Her quirky voice belts out haunting melodies, while she takes up the stage with her aggressively energetic performance.</span></p><p><strong>Music: </strong><a href=""http://www.animalia-music.com"">Website</a>&nbsp;/<strong>&nbsp;</strong><a target=""_blank"" href=""https://www.facebook.com/music.animalia"">Facebook</a><span>&nbsp;/&nbsp;</span><a target=""_blank"" href=""http://animalia.bandcamp.com"">Bandcamp</a></p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/546f83c2e4b0e1a9e2312cbe/1416594370903/?format=300w
Anti-Vibes,09:00,09:30,Conversation Room,Music,"<p><span>""[Anti-Vibes] features Claire Whaatever on vocals, Sean Kennedy on guitar, Cam Hulbert on bass, and Chloe Wilson on drums. The band embodies a pre-</span><em>Damaged</em><span>&nbsp;era Black Flag … [and] also employ some free spirit noise in the vein of Rudimentary Peni. The sum results in a heavy and punishing punk beat that backs unique twists on some traditional punk themes.”&nbsp;</span><strong>-&nbsp;<em>Equalizing-X-Distort</em></strong></p><p><strong>Music:&nbsp;</strong><a target=""_blank"" href=""https://www.facebook.com/antivibes"">Facebook</a><span>&nbsp;/&nbsp;</span><a target=""_blank"" href=""http://antivibes.bandcamp.com"">Bandcamp</a></p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/546f8407e4b05061212fe5a0/1416594440135/?format=300w
Army Girls,11:30,12:00,Main Stage,Music,"<p dir=""ltr""><span>Army Girls are a Toronto based two piece band. Andy Smith and Carmen Elle began collaborating in early 2010, after playing&nbsp;in numerous bands. Their debut EP is&nbsp;</span><em>Close To The Bone</em><span>&nbsp;(Blocks Recording Club).</span></p><p><strong>Music:&nbsp;</strong><a target=""_blank"" href=""https://www.facebook.com/armygirlsmusic"">Facebook</a><span>&nbsp;/&nbsp;</span><a target=""_blank"" href=""http://armygirls.bandcamp.com"">Bandcamp</a></p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/546f842ae4b06b70fedd411d/1416594470242/?format=300w
Audiopollination,11:00,01:00,Blk Box,Music,"<p>Audiopollination is a monthly&nbsp;<a target=""_blank"" href=""http://www.somewherethere.org"">Somewhere There</a>&nbsp;series in association with&nbsp;<a target=""_blank"" href=""http://arraymusic.com"">Array Music</a>&nbsp;featuring a smorgasbord of spontaneous music and visuals. Dec 12th Audiopollination takes brings their improvised bonanza to Long Winter.</p><p><strong>Music:&nbsp;</strong><a href=""http://audiopollination.ca"">Website</a>&nbsp;/&nbsp;<a target=""_blank"" href=""https://www.facebook.com/audiopollinationtoronto"">Facebook</a></p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/546f8528e4b0c97cacdde598/1416594731658/?format=300w
Goin' Steady DJs,11:00,02:00,The Bristol,Music,"<p><span>The story of Goin’ Steady belongs to a long tradition of DIY parties that popped up in Toronto as an alternative to the mainstream club scene in the early 2000′s. Goin’ Steady was created by three friends looking to create a different kind of party atmosphere; one that would capture the raw energy of the golden age of youth music without relying on tired retro clichés. Since Wolfgang Nessel’s departure in 2007, Matt Cully and Louis Calabro have continued to turn audiences on to the best of old fashioned beat music; from jump blues to doo-wop, swing to calypso, girl groups to surf and the weird and unseen world of American and international rock music.</span></p><p><strong>Music:</strong><span>&nbsp;</span><a href=""http://www.goinsteady.ca"">Website</a>&nbsp;/&nbsp;<a target=""_blank"" href=""https://www.facebook.com/goinsteadydjs"">Facebook</a></p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/546f856ce4b0c97cacdde6c5/1416594797101/goinsteady.jpg?format=300w
Iris,08:00,08:30,Conversation Room,Music,"<p>A shoegaze band.</p><p><strong>Music: </strong><a href=""https://www.facebook.com/irissband"">Facebook</a>&nbsp;/ <a href=""http://www.iriss.bandcamp.com"">Bandcamp</a></p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/54729a5be4b02c31572ed354/1416796763366/?format=300w
The Lonely Parade,10:30,11:00,Main Stage,Music,"<p>""Peterborough's the Lonely Parade are a group that many peg to be wise beyond their years, making music with strong elements of urgency and excitement. Making waves in their hometown through getting their start at Rock Camp for Girls Peterborough, it's a wave they continued to ride through writing, recording, and performing in their city. The alt-rock three-piece were named the recipients of the Peterborough Folk Festival's Emerging Artist award, serving as a sign of things to come from their work.""&nbsp;<strong>- Calum Slingerland/<em>Exclaim!</em></strong></p><p><strong>Music:&nbsp;</strong><a target=""_blank"" href=""http://thelonelyparade.com"">Website</a> /&nbsp;<a target=""_blank"" href=""https://www.facebook.com/thelonelyparade"">Facebook</a>&nbsp;/&nbsp;<a target=""_blank"" href=""https://thelonelyparade.bandcamp.com"">Bandcamp</a></p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/5472988ae4b01d352463faf0/1416796299027/?format=300w
Sean Conway,09:30,10:00,Main Stage,Music,"<p><span>Sean Conway is a singer-songwriter from Curve Lake First Nation, residing in Peterborough, Ontario. An avid musical explorer, he effortlessly&nbsp;blurs the line between classic sounds of '60s-era country music, '70s Brit-pop and doo-wop rock 'n' roll with his delicate eye for detail, all the while embracing his spontaneous nature as an entertainer and musician – constantly challenging himself as an artist and performer.&nbsp;</span></p><p><strong>Music:&nbsp;</strong><a target=""_blank"" href=""https://www.facebook.com/seanconwaymusic"">Facebook</a>&nbsp;/<a target=""_blank"" href=""http://seanconway.bandcamp.com"">&nbsp;Bandcamp</a></p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/547298cfe4b08b96ee5c856a/1416796367761/?format=300w
Man Made Hill,01:00,01:30,Conversation Room,Music,"<p><span>""Man Made Hill’s extraterrestrial adolescent funk crams a chaos pouch with leather-gloved fistfuls of purple snow.”&nbsp;</span><strong>- Jesse Locke/<em>Weird Canada</em></strong></p><p><strong>Music:&nbsp;</strong><a target=""_blank"" href=""https://www.facebook.com/pages/Man-Made-Hill/404478872925516"">Facebook</a>&nbsp;/&nbsp;<a target=""_blank"" href=""https://myspace.com/llihedamnam"">MySpace</a></p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/547298b2e4b073fd08ea32de/1416796338787/?format=300w
